Statistical profiling result from sinConsoleLog.log, (5004 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   3783   75.6%          /usr/bin/node
    104    2.1%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
      6    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     55    1.1%    5.0%  LazyCompile: *wrap /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     43    0.9%    3.9%  LazyCompile: *SourceNode_walk /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/source-map/lib/source-node.js:221:53
     30    0.6%    2.7%  LazyCompile: *parse /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     18    0.4%    1.6%  LazyCompile: *resolve path.js:1067:10
     16    0.3%    1.4%  LazyCompile: *next /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     15    0.3%    1.4%  LazyCompile: *fulfilled /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:21:27
     14    0.3%    1.3%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:368:47
     12    0.2%    1.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/source-map/lib/source-node.js:174:29
     11    0.2%    1.0%  LazyCompile: *step /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     11    0.2%    1.0%  LazyCompile: *join path.js:1142:7
     10    0.2%    0.9%  LazyCompile: *generateList /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
     10    0.2%    0.9%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:167:47
      9    0.2%    0.8%  LazyCompile: *makeAbs /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/glob/common.js:203:18
      8    0.2%    0.7%  LazyCompile: *anonymous /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      7    0.1%    0.6%  RegExp: (?:\r\n?|\n).*
      7    0.1%    0.6%  LazyCompile: *invokeAmbiguous /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      6    0.1%    0.5%  LazyCompile: *setupHelperArgs /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      6    0.1%    0.5%  LazyCompile: *readFile fs.js:319:18
      6    0.1%    0.5%  LazyCompile: *normalizeString path.js:59:25
      6    0.1%    0.5%  LazyCompile: *compile /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      6    0.1%    0.5%  LazyCompile: *SubExpression /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      5    0.1%    0.5%  LazyCompile: *appendEscaped /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      4    0.1%    0.4%  LazyCompile: *castChunk /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      4    0.1%    0.4%  LazyCompile: *accept /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
